,en,ko,Results_baseline_enko,Results_baseline_koen
0,"Once upon a time, there were three beautiful butterflies.","옛날 옛적에, 세 마리의 예쁜 나비가 있었어요.",옛날에는 세 마리의 아름다운 나비가 있었다.,"In the old days, there were three pretty butterflies."
1,I felt like I have millions butterflies in my stomach.,너무 긴장 한 것 같았어요.,나는 위에 수백만 마리의 나비가 있는 것 같았어.,I felt so nervous.
2,The deal was completely open and above board.,거래는 완전히 공개되었고 명백했습니다.,그 거래는 완전히 개방되었고 이사회 위에 있었다.,The transaction was completely disclosed and clear.
3,I left the keys on the board on your porch.,현관 게시판에 열쇠를 두고 왔어요.,나는 당신의 porch에 키를 보드에 두고 왔어요.,I left the key on the front door bulletin board.
4,clean your toys in the living room. no buts!,어서 거실에 있는 장난감 정리하세요. 토 달지 말고!,거실에 있는 장난감을 깨끗하게 청소하세요! 안녕!,"Let's clean up the toys in the living room, don't go to bed!"
5,Wages were raised across the board by 12 percent. ,임금이 일률적으로 12% 인상되었다,임금은 전체에서 12% 인상되었다.,wages were uniformly raised by 12%.
6,"We can't make decisions yet, let's play it by ear.",아직 결정 내릴 수가 없어요. 상황 봐 가면서 진행합시다.,"우리는 아직 결정을 할 수 없고, 귀로 연주합시다.",I can't make a decision yet. Let's proceed with the situation.
7,"After my father-in-law said, ""Why are you making him cry?"", things went south.","시아버님이 ""왜 애를 울리냐?""라고 말씀하시고 나서부터 상황이 말리기 시작했다.","시어머니가 “왜 울게 하는 거야”라고 말한 후, 세상은 남쪽으로 갔다.","After my father-in-law said, ""Why do you cry?"", the situation began to stop."
8,He went south to a warmer climate.,그는 기후가 더 따뜻한 남쪽으로 갔다.,그는 더 따뜻한 기후로 남쪽으로 갔다.,He went to the south where the climate was warmer.
9,I didn't want to do it but he kept egging me on.,나는 그것을 하고 싶지 않았는데 그가 계속 부추겼다.,나는 하고 싶지 않았는데 그는 자꾸 나를 괴롭히고 있었어요.,"I didn't want to do it, but he continued to encourage me."
10,That politician is notorious for egging on the crowd and making them assault the police. ,그 정치인은 군중이 경찰을 공격하게끔 선동하는 걸로 악명이 높잖아요.,그 정치인은 군중에게 계란을 때리고 경찰을 폭행하는 것으로 악명이 높다.,The politician is notorious for inducing the crowd to attack the police.
11,I'd say she's doing just peachy.,내 말은 그녀가 정말 끝내주게 잘해내고 있다는 거야.,그녀는 복숭아만 하고 있다고 말할게요.,My word is that she is doing well so much.
12,Everyone there knew that he was just a sour grape.,거기 있는 모든 사람은 그가 오기를 부리는 것이라는 것을 알았다.,그곳의 모든 사람들은 그가 비단 포도에 불과하다는 것을 알고 있었다.,Everyone there knew that he was coming.
13,I can't tell which one is better because they are apples and oranges.,그 두 개가 서로 비교할 수 없는 대상이라 어떤 것이 더 좋은지 말할 수가 없다.,사과와 오렌지라서 어느 것이 더 나은지 알 수 없습니다.,It is impossible to say which one is better because the two are not comparable to each other.
14,He is a fan of both apple juice and orange juice.,그는 사과 주스와 오렌지 주스를 모두 좋아합니다.,그는 사과 주스와 오렌지 주스를 모두 좋아하는 팬입니다.,He likes both apple juice and orange juice.
15,My dream job just fell into my lap.,내가 꿈꾸던 직장이 그냥 호박채 넝쿨 굴러 들어왔다.,나의 꿈인 직업은 막 내 무릎에 떨어졌어요.,The workplace I dreamed of just bounced into a pumpkin-chip vine.
16,That's why he beat around the bush.,그래서 계속 빙빙 돌려 말하는 거죠.,그래서 그가 부풀을 니다.,That's why I keep talking around.
17,"Hey, cut me some slack. I'm only a few dollars short.","저기요, 조금만 봐 주세요. 단지 몇 달러가 부족해요.",안녕하세요. 좀 느슨하게 잘라주세요. 몇 달러밖에 안 되네요.,"Excuse me, please look at it a little bit. I just need a few dollars."
18,Danny's family told him to “break a leg” right before he went up on stage.,"대니의 가족은 무대에 오르기 직전에 그에게 ""행운을 빈다고""고 말했습니다.",대니의 가족은 그가 무대에 오르기 직전에 “다리를 끊어라”고 했다.,"Danny's family told him just before he went on stage, ""I wish you good luck."""
19,We can't cut corners when it comes to safety regulations in our factory.,우리 공장의 안전 규정에 관한 한 절차를 무시하고 대충 하는 건 안됩니다.,우리 공장의 안전 규정에 대해서는 모서리를 잘라낼 수 없습니다.,"As far as our factory's safety regulations are concerned, we should not ignore the procedures and do it in detail."
20,"with father's wine in the back, I mustn't drive too fast. Easy does it","아버지의 와인을 뒤에 싣고, 빠르게 운전 하면 안되요. 신중하게 하세요.",아버지 와인이 뒤쪽에 있는데 너무 빨리 운전하면 안 돼요. 쉬운데.,Don't carry your father's wine back and drive quickly. Do it carefully.
21,it's so random. I never know how to dress in this kind of weather.,너무 뜬금없어요. 이런 날씨에 어떻게 옷을 입어야 할지 모르겠어요.,너무 랜덤이에요. 이런 날씨에 옷을 입는 방법을 전혀 몰라요.,It's too unexpected. I don't know how to wear clothes in this weather.
22,His carefully planned road trip started to go south when the car broke down in the middle of nowhere.,신중하게 계획된 그의 여행은 갑자기 차가 고장 나면서 상황이 악화되기 시작 했습니다.,그가 신중하게 계획한 도로 여행은 갓길에 차가 고장 나면서 남쪽으로 가기 시작했다.,His carefully planned trip began to worsen as the car suddenly broke down.
23,"When the surprise guest walked in, the kids at the birthday party went bananas with excitement.",깜짝 손님이 등장하자 생일 파티에 참석한 아이들은 신나서 난리가 났어요.,깜짝 게스트가 들어올 때 생일 파티의 아이들은 신나게 바나나를 갔다.,"When a surprise guest appeared, the children who attended the birthday party were excited."
24,don't try and butter me up in order to get privileged information.,권한 있는 정보를 얻기 위해 저에게 아부하지 마세요.,특권이 있는 정보를 얻기 위해 나를 겁내지 마세요.,Don't neglect me to get the right information.
25,I love listening to this old jazz record. it never gets old!,오래된 재즈 음반을 듣는 것을 좋아합니다. 절대 질리지 않아요!,나는 이 옛날 재즈 레코드를 듣는 게 정말 좋아. 절대 늙지 않아요!,I like listening to old jazz albums. I never get tired of it!
26,You're young and healthy and you have no commitments. The world is your oyster.,당신은 젊고 건강하며 책임 져야 할 일이 없습니다. 세상은 당신의 것이다.,젊고 건강하며 약속이 없습니다. 세상은 당신의 굴입니다.,"You are young, healthy, and have nothing to take responsibility for. The world is yours."
27,you already finished project? you are really on the ball.,벌써 프로젝트 끝냈다고? 너 진짜 똑똑하구나.,당신은 이미 프로젝트를 완료했나요? 정말 공을 타고 있어요.,Are you already finished the project? You're really smart.
28,She told him that you're barking up the wrong tree because she had no idea.,"그녀는 당신이 헛다리 짚고 있다고 말했는데, 그녀는 아는 것이 전혀 없었기 때문이다.",그녀는 당신이 알 수 없어서 나무를 잘못 꼬고 있다고 말했어요.,"She said you were lying down, because she didn't know anything at all."
29,"the bookworms and the science enthusiasts formed close friendships, proving that birds of a feather flock together.","책벌레와 과학 애호가들이 밀접한 우정을 형성하여, 유유상종 임을 증명한다.",책벌레와 과학 애호가들은 밀접한 우정을 형성하여 깃털의 새들이 함께 모여들는 것을 증명하였다.,Bookworms and science lovers form close friendships to prove that they are Yuyusangjong.
30,"His coach reminded him, 'Don't count your chickens before they hatch' to keep him focused on the upcoming match.",코치가 '김칫국 마시지 말라'는 말을 상기시키며 다가오는 경기에 집중할 수 있도록 했습니다.,그의 감독은 이번 경기에 집중할 수 있도록 '닭이 개질 전에 세지 말라'고 일깨워줬다.,"The coach reminded me of the words ""Don't drink kimchi soup,"" so that he could focus on the upcoming game."
31,"After accidentally deleting his important presentation, he reminded himself not to cry over spilled milk and immediately started working on a new one.","중요한 프레젠테이션을 실수로 삭제한 후, 그는 엎질러진 물이라고, 스스로에게 다짐하고 즉시 새 프레젠테이션 작업을 시작했습니다.","우연히 중요한 발표를 삭제한 뒤, 젖이 흘려서 울지 말라는 것을 상기하고 곧바로 새로운 작품을 작업하기 시작했다.","After deleting an important presentation by mistake, he vowed to himself that it was fallen water and immediately started a new presentation."
32,"After their argument, she gave him the cold shoulder and didn't speak to him for days.",말다툼이 끝난 후 그녀는 냉담한 태도를 보였고 며칠 동안 그와 연락을 하지 않았습니다.,그들의 논쟁 끝에 그녀는 그에게 차가운 어깨를 주고 며칠 동안 그와 대화하지 않았다.,"After the argument, she showed a cold attitude and did not contact him for several days."
33,I have bigger fish to fry.,내 코가 석자라.,나는 튀길 물고기가 더 많아요.,My nose is a stone.
34,"t was only her second or third audition, and she nailed it","단지 두번째 혹은 세번째 오디션이었는데, 그녀가 제대로 해냈어!","그녀는 두 번째 혹은 세 번째 오디션에 불과했고, 그것을 못 못 쳤다.","It was just the second or third audition, but she did it properly!"
35,"I just shrugged and said, 'Beats me.'",저는 그냥 어깨를 으쓱하며 '이겼어요'라고 말했죠.,나는 그저 고개를 끄덕이고 '내 몸을 감싸라'고 했다.,"I just shook my shoulders and said, ""I won."""
36,What on earth happened here?,도대체 무슨 일이 있었던 거죠?,여기서 도대체 무슨 일이 일어났나요?,What happened?
37,The eerie sound of footsteps in the empty hallway made my hair stand on end.,텅 빈 복도에서 들리는 섬뜩한 발자국 소리에 머리카락이 쭈뼛 서는 것 같았습니다.,텅 빈 복도에서 발길은 울퉁불퉁한 소리 때문에 머리는 끝까지 서 있었다.,I felt like my hair was standing on the sound of savory footprints heard in the empty hallway.
38,"When it comes to investing in this new technology, do not miss the boat; it's a game-changer.",이 새로운 기술에 투자할 때는 판도를 바꿀 수 있는 기회를 놓치지 마세요.,"이 신기술 투자에 있어서 배를 놓치지 마세요, 게임 바꾸기입니다.","When investing in this new technology, don't miss the opportunity to change the landscape."
39,"When he heard the news about the delayed flight, he had to remind his impatient friend to keep your shirt on and stay calm.","비행기가 연착되었다는 소식을 들었을 때, 그는 참을성 없는 친구에게 침착함을 유지하라고 상기시켜야 했습니다.",비행 지연 소식을 들은 그는 급박한 친구에게 셔츠를 입고 차분하게 지내라는 것을 상기해야 했다.,"When he heard that the flight was delayed, he had to remind his unsatisfied friend to maintain calmness."
40,"Her friends were running late for the dinner reservation, but she told them, Don't get bent out of shape about it; I don't mind waiting a little longer.",그녀의 친구들은 저녁 식사 예약에 늦고 있었지만 그녀는 그들에게 말했습니다. 그런 일로 화내지마. 조금 더 기다려도 상관없어요.,"저녁 예약을 위해 친구들이 늦은 시간에 달려가고 있었는데, 그녀는 “몸이 꼬이지 말고 조금 더 기다리면 상관없다”고 말했다.","Her friends were late to make a dinner reservation, but she told them. I don't want to be angry about that. I can wait a little longer."
41,"As she stared out of the window lost in thought, her friend asked this 'a penny for your thoughts?'","그녀기 생각에 잠긴 채 창밖을 바라보자, 그녀의 친구가 무슨 생각하냐고 물었습니다.","사색에 빠진 채 창밖을 쳐다보자, 친구는 이 '생각에 대한 한 푼'을 물었다.","When she looked out of the window with her thoughts in mind, her friend asked what she was thinking."
42,"He tried to make things better, but to make matters worse, he just added fuel to the fire.","그는 일을 해결해 보려 했지만, 설상가상으로 문제를 더욱 악화시키기만 했다.","좀 더 나아지려고 노력했지만, 설상가상으로 불에 연료만 추가했다.","He tried to solve the problem, but it only worsened the problem."
43,"It takes two to tango, don't you know?","손바닥도 마주쳐야 소리가 나지, 몰랐어?","탱고에 두 번 걸리는데, 아시나요?","You have to touch your palms to make a sound, didn't you know?"
44,A leopard cannot change its spots.,제 버릇 개 못 준다.,박쥐는 결점을 바꿀 수 없습니다.,I can't give my dog my habit.
45,a fly in the ointment.,옥의 티.,연고에 풍선이 날아든다.,The tea of ox.
46,Don't worry about the test; it's a piece of cake.,"시험 걱정하지 마세요, 누워서 떡먹기에요.","시험 걱정하지 마세요, 케이크 한 조각입니다.","Don't worry about the exam, it's sitting down and eating rice cakes."
47,Your analysis of the problem really hit the nail on the head.,당신의 문제에 대한 분석이 정곡을 찔렀어요.,당신의 문제에 대한 분석은 정말 머리의 못을 강타했어요.,The analysis of your problem stabbed my nose.
48,Losing my job was a blessing in disguise; it led me to my dream career.,직장을 잃은 것이 전화위복이였어요. 제 꿈의 직장으로 이끌어줬거든요.,"직업 상실은 위장의 축복이었고, 꿈이 된 진로로 이어졌다.",The loss of my job was a phone break. It led me to my dream job.
49,"We've been working on this project for hours, let's call it a day.","이 프로젝트 작업을 몇 시간 동안 했으니, 오늘은 그만 끝냅시다.","우리는 이 프로젝트를 몇 시간 동안 진행해왔는데, 하루로 부르자.","I've worked on this project for several hours, so let's stop today."
50,Break a leg!,행운을 빌어요!,다리를 깨세요!,I wish you good luck!
51,"I know you don't like confrontation, but you'll have to bite the bullet and talk to him about it.","나는 당신이 대립을 좋아하지 않는 것을 알지만, 울며 겨자먹기로 그와 이야기해야 해요","난 네가 대립을 싫어하는 건 알지만, 총알을 쏘고 그 사람한테 얘기해야 할 거야.","I know you don't like confrontation, but I have to cry and talk to him."
52,"We don't have much time, so please cut to the chase and tell us what happened.","시간이 많지 않으니, 본론으로 들어가서 무슨 일이 있었는지 말해주세요.","시간이 많지 않으니, 추격으로 잘라서 무슨 일이 있었는지 알려주세요.","I don't have much time, so please go to the main discussion and tell me what happened."
53,You could be a narc for all I know.,당신이 마약단속반일지 알게 뭐에요.,당신은 내가 아는 모든 사람에게 이 될 수 있습니다.,I don't know if you're a drug control team.
54,It takes two to tango.,손뼉도 마주쳐야 소리가 난다.,탱고는 두 번 걸리네요.,The sound can be made only when you face each other.
55,Between the devil and the blue deep sea.,진퇴양난.,악마와 푸른 깊은 바다 사이에요.,It's a crisis of degenerativeness.
56,Drop by drop fills the tub.,한 방울씩 모여 큰 통을 채운다. 티끌모아 태산,방울에 의해 물방울이 튜브를 채워줍니다.,It gathers one drop and fills a large bottle.
57,"More haste, less speed.",급할수록 돌아가라.,"빠른 속도, 느린 속도입니다.",Turn back as you get more urgent.
58,Fine feathers make fine birds.,옷이 날개다.,고운 깃털은 고운 새를 만들어요.,The clothes are wings.
59,Ignorance is bliss.,모르는 게 약이다.,무관심은 무복입니다.,What you don't know is medicine.
60,One man sow and another reaps.,재주는 곰이 부리고 돈은 되놈이 가져간다.,한 사람이 싹을 고 또 다른 사람이 열매를 니다.,The bear takes the skill and the money is taken by the man.
61,You've cried wolf too many times. We'll believe it when we see it.,"콩으로 메주 쑨다고 해도 안 믿는다. 우리가 그 걸 보게 되면, 그때 믿을게.",네가 늑대를 너무 많이 울었어. 우리는 그것을 볼 때 믿을 거야.,"I don't believe it even if we make rice with beans, but I'll believe it when we see it."
62,"And to add insult to serious injury, I've totally given up smoking, my favorite thing.",게다가 설상가상으로 난 담배도 완전히 끊었어. 내가 제일 좋아하는 건데.,그리고 심각한 상해에 모욕을 더하기 위해 나는 가장 좋아하는 흡연을 완전히 포기했다.,"In addition, I completely quit cigarettes. It's my favorite thing."
63,"Well begun, half done.",시작이 반이다.,이미 시작되었고 절반은 끝났습니다.,The start is half.
64,One rotten apple spoils the barrel.,미꾸라지 한 마리가 온 웅덩이 흐린다.,썩은 사과 한 개가 통을 니다.,A loach clouds the whole pool.
65,Speak of the devil and he will appear.,"호랑이도 제 말 하면 온다고, 그가 나타날것이다.",악마를 말하면 그가 나타날 것입니다.,"The tiger will come when I say it, and he will appear."
66,It really made it clear that a worm will turn.,지렁이도 밟으면 꿈틀한다는 사실이 정말 분명해졌습니다.,그것은 정말 벌레가 돌게 될 것임을 분명히 해 주었다.,It has become so clear that the worms also squirt when it is stepped on.
67,Out of the frying pan into the fire.,엎친 데 덮친 격.,프라이팬에서 불이 나네요.,It's a mess.
68,"The entrepreneur took a risk by investing in a new startup, knowing that ""nothing ventured, nothing gained."" The business became successful, and she reaped the rewards.","그 기업가는 ""호랑이 굴에 들어가야 호랑이를 잡는다""는 것을 알고 새로운 스타트업에 투자하여 위험을 감수했습니다. 사업은 성공했고 그녀는 보상을 받았습니다.","기업가는 '벤처는 하나도 없고, 얻는 것도 없다'는 사실을 알고 새로운 스타트업에 투자하며 위험을 감수했고, 사업이 성공했고, 그녀는 그 대가를 버다.","The entrepreneur took risk by investing in a new start-up knowing that ""it is necessary to go into a tiger cave to catch the tiger,"" and the business succeeded and she was rewarded."
69,"After submitting a complaint about a faulty product, the customer hadn't received a response, but he held onto the idea that no news is good news, expecting a resolution in his favor.",고객은 결함이 있는 제품에 대한 불만 사항을 제출한 후 응답을 받지 못했지만 그는 무소식이 희소식이라는 생각을 고수하며 자신에게 유리한 해결을 기대했습니다.,"고객이 불량 제품에 대한 민원을 제출한 뒤 별다른 답변을 받지 못했지만, 자신이 유리한 결론이 나올 것으로 보고 뉴스가 좋은 뉴스는 아니라는 생각을 고수했다.","The customer did not receive a response after submitting complaints about defective products, but he kept the idea that no news was good and expected a solution that was favorable to him."
70,"I've tried to discuss my feelings with her, but it's like talking to a brick wall.","그녀와 내 감정에 대해서 이야기를 해보려고 했지만, 이건 마치 소귀에 경 읽기 같아.","그녀와의 감정을 논의하려고 노력했지만, 벽돌벽과 대화하는 것 같다.","I tried to talk about my feelings with her, but this looks like a reading of Sogwi."
71,Money makes the mare go. Money is everything.,돈이면 귀신도 부릴 수 있다.,돈이 허를 니다. 돈은 모든 것이에요.,"If you have money, you can get ghosts."
72,Her best friend stabbed her in the back and they never spoke to each other again.,"믿었던 가장 친한 친구의 도끼의 발등을 찍혔고, 그들은 다시는 서로 말을 하지 않았습니다.","그녀의 가장 친한 친구가 뒤를 찔렀고, 다시는 대화하지 않았다.","He was hit by the nail of his closest friend, and they didn't talk to each other again."
73,"The grass is greener on the other side of the fence, so you need to know how to thank yourself for what you have.","남의 떡이 커 보인다고, 그냥 가진 것에 대해 감사할 줄 알아야 해.",울타리 건너편에는 잔디가 더 푸르러서 네가 가진 것에 대해 어떻게 감사해야 하는지 알아야 한다.,"It looks like others' rice cakes are big, and you should just be grateful for what you have."
74,Look before you leap.,돌다리도 두들겨 보고 건너라.,당신이 도약하기 전에 봐.,Turn on the stone bridge and cross it.
75,Lock the stable after the horse is stolen.,소 잃고 외양간 고치기.,"말의 도난이 일어난 후, 침대를 니다.",I lose a cow and repair the home.
76,This horse is like my family.,이 말은 내 가족과 같아.,이 말은 내 가족 같은 말이에요.,This is like my family.
77,Let sleeping dogs lie.,긁어 부스럼 만들지 마라.,잠자는 개를 거짓말하게 해주세요.,Don't scratch it and make a sprout.
78,It never rains but it pours.,설상 가상이다.,비가 오지는 않지만 비가 펑펑 내리겠습니다.,It is virtual.
79,It is no use crying over spilt milk.,이미 엎지러진 물을 담아도 소용이 없다.,우물우유에 울고 있는 것은 소용이 없습니다.,"Even if you put the water that has already fallen down, it is not useful."
80,A little learning is a dangerous thing.,선무당이 사람 잡는다.,약간의 학습은 위험한 일입니다.,Seonmudang catches people.
81,"Don't worry, If you need me, I'll be there at the drop of a hat.",내가 필요하면 언제든지 달려갈 테니 걱정하지마.,"걱정하지 마세요, 내가 필요하면 모자 방울에 있을게요.","I will run whenever I need it, so don't worry."
82,Don't count your chickens before they are hatched.,김치 국물부터 마시지마라.,닭이 개질되기 전에 계산하지 마세요.,Don't drink kimchi soup first.
83,A friend in need is a friend indeed.,어려울 때 친구가 참된 친구다.,어려운 친구는 정말 친구입니다.,A friend is a true friend when it's difficult.
84,A burned child dreads the fire.,자라보고 놀란가슴 솥뚜껑보고 놀란다.,불에 탄 아이가 화재를 두려워합니다.,I'm surprised to see the chest pot lid.
85,The pot calls the kettle black.,똥 묻은 개가 겨 묻은 개 나무란다.,그 냄비는 케틀을 검은색이라고 해요.,It's a dog with sucked hair.
86,Walls have ears.,낮말은 새가 듣고 밤말은 쥐가 듣는다.,벽은 귀를 가지고 있습니다.,The bird listens to the daytime and the rat hears the nighttime.
87,Too many cooks spoil the broth.,사공이 많으면 배가 산으로 간다.,너무 많은 조리사가 육수를 니다.,"If there are many scaffolds, the ship goes to the mountain."
88,Do you really agree with that the end justifies the means?,정말 너 모로 가도 서울만 가면 된다고 생각해?,그 끝은 그 수단을 정당화한다는 것에 정말 동의하나요?,Do you really think you just need to go to Seoul?
89,Every cloud has a silver lining., 하늘이 무너져도 솟아날 구멍이 있다.,모든 구름에는 은줄이 있다.,There is a hole that will rise even if the sky collapses.
90,I will eat my hat.,내 손가락에 장을 지지겠다.,저는 제 모자를 먹을 것입니다.,I'll fix my fingers.
91,There is no smoke without fire.,아니 땐 굴뚝에 연기 날까.,불이 없는 연기는 없습니다.,I don't know if there will be smoke in the chimney.
92,Every dog has his day.,쥐구멍에도 볕들 날 있다.,모든 개는 자신의 날이 있어요.,There is also a sunning day in the mouse hole.
93,Her scheme of being a movie star is a wild-goose chase.,영화 배우가 되겠다는 그의 계획은 터무니 없는 헛소리 입니다.,영화 스타라는 그녀의 계략은 야생 여우 추격이다.,His plan to become a movie actor is an unreasonable false word.
94,"We wanted to play touch football, but now it's raining cats and dogs, so I guess we'll stay inside.","터치 풋볼을 하고 싶었는데, 지금 비가 엄청나게 많이 와서, 안에서 지내야 할 것 같아요.",우리는 터치풋볼을 하고 싶었는데 지금은 고양이와 개들이 비가 와서 안에 있을 것 같아요.,"I wanted to play touch football, but it's raining a lot now, so I think I'll have to stay inside."
95,I don't feel at all sorry that people are calling you names. You're getting a taste of your own medicine.,사람들이 너에 대해 험담 하는 것에 대해 전혀 미안하지 않아. 자업자득이야.,사람들이 이름을 불러서 정말 미안하지 않아요. 자신의 약을 맛보고 있어요.,I'm not sorry for people complaining about you at all.
96,"The old farmhand is hard as nails, but he's got a heart of gold underneath the tough exterior.","늙은 머슴은 인정사정 없는 사람이지만, 그의 거친 겉모습과 다르게 안에는 좋은 마음씨를 가지고 있습니다.","늙은 농부는 손톱처럼 딱딱하지만, 단단한 외관 아래 금의 마음을 갖고 있다.","The old servant is a person who is irresponsible, but unlike his rough appearance, he has a good spirit inside."
97,But she still aired her dirty laundry in public.,하지만 그녀는 여전히 자신의 치부를 공공연히 드러내고 있었다.,하지만 그녀는 여전히 더러운 빨래를 공개적으로 내보냈다.,"However, she was still openly revealing her shame."
