,en,ko,predictions
0,"Once upon a time, there were three beautiful butterflies.","옛날 옛적에, 세 마리의 예쁜 나비가 있었어요.",옛날엔 세 명의 아름다운 소녀가 있었습니다.
1,I felt like I have millions butterflies in my stomach.,너무 긴장 한 것 같았어요.,나는 수백만 명의 가슴이 두근두근 하는 것 같았어.
2,The deal was completely open and above board.,거래는 완전히 공개되었고 명백했습니다.,그 거래는 완전히 개방적이고 정상적이었다.
3,I left the keys on the board on your porch.,현관 게시판에 열쇠를 두고 왔어요.,나는 당신의 집에 열쇠를 올려놓았습니다.
4,clean your toys in the living room. no buts!,어서 거실에 있는 장난감 정리하세요. 토 달지 말고!,거실에서 장난감 청소해. 예외는 없어요!
5,Wages were raised across the board by 12 percent. ,임금이 일률적으로 12% 인상되었다,임금은 전반적으로 12% 인상되었다.
6,"We can't make decisions yet, let's play it by ear.",아직 결정 내릴 수가 없어요. 상황 봐 가면서 진행합시다.,"우리는 아직 결정을 내릴 수 없어, 유동적으로 처리하자."
7,"After my father-in-law said, ""Why are you making him cry?"", things went south.","시아버님이 ""왜 애를 울리냐?""라고 말씀하시고 나서부터 상황이 말리기 시작했다.","제 장인이 ""왜 그가 울게 하는 거야?""라고 말한 후에 상황이 나빠졌습니다."
8,He went south to a warmer climate.,그는 기후가 더 따뜻한 남쪽으로 갔다.,그는 더 따뜻한 기후로 남쪽으로 갔다.
9,I didn't want to do it but he kept egging me on.,나는 그것을 하고 싶지 않았는데 그가 계속 부추겼다.,나는 하고 싶지 않았지만 그는 계속 나를 부추겼다.
10,That politician is notorious for egging on the crowd and making them assault the police. ,그 정치인은 군중이 경찰을 공격하게끔 선동하는 걸로 악명이 높잖아요.,그 정치인은 군중을 선동해서 경찰을 폭행하도록 하는 것으로 악명이 높다.
11,I'd say she's doing just peachy.,내 말은 그녀가 정말 끝내주게 잘해내고 있다는 거야.,그녀는 그저 좋아하고 있다고 말하고 싶어.
12,Everyone there knew that he was just a sour grape.,거기 있는 모든 사람은 그가 오기를 부리는 것이라는 것을 알았다.,그곳에 있는 모든 사람들은 그가 그저 오기에 불과하다는 것을 알고 있었습니다.
13,I can't tell which one is better because they are apples and oranges.,그 두 개가 서로 비교할 수 없는 대상이라 어떤 것이 더 좋은지 말할 수가 없다.,미각과 미각이 다르기 때문에 어느 것이 더 나은지 알 수가 없습니다.
14,He is a fan of both apple juice and orange juice.,그는 사과 주스와 오렌지 주스를 모두 좋아합니다.,그는 애플 주스와 오렌지 주스를 모두 좋아합니다.
15,My dream job just fell into my lap.,내가 꿈꾸던 직장이 그냥 호박채 넝쿨 굴러 들어왔다.,내 꿈 같던 직업이 싹 어버렸어.
16,That's why he beat around the bush.,그래서 계속 돌려 말하는 거죠.,그게 그가 거짓말을 한 이유입니다.
17,"Hey, cut me some slack. I'm only a few dollars short.","저기요, 조금만 봐 주세요. 단지 몇 달러가 부족해요.","아뇨, 좀 봐주시겠어요. 제가 몇 달러밖에 안 되네요."
18,Danny's family told him to “break a leg” right before he went up on stage.,"대니의 가족은 무대에 오르기 직전에 그에게 ""행운을 빈다고""고 말했습니다.",대니의 가족은 그가 무대에 오르기 직전 그에게 “대박나라”고 말했습니다.
19,We can't cut corners when it comes to safety regulations in our factory.,우리 공장의 안전 규정에 관한 한 절차를 무시하고 대충 하는 건 안됩니다.,우리 공장의 안전 규제에 대해서는 어쩔 수 없어요.
20,"with father's wine in the back, I mustn't drive too fast. Easy does it","아버지의 와인을 뒤에 싣고, 빠르게 운전 하면 안되요. 신중하게 하세요.",아버지의 와인을 뒷면에 두고 너무 빨리 운전해서는 안 됩니다. 쉬운 운전이에요.
21,it's so random. I never know how to dress in this kind of weather.,너무 뜬금없어요. 이런 날씨에 어떻게 옷을 입어야 할지 모르겠어요.,너무 뜬금없어. 이런 날씨에 어떻게 옷을 입는지 모르겠어.
22,His carefully planned road trip started to go south when the car broke down in the middle of nowhere.,신중하게 계획된 그의 여행은 갑자기 차가 고장 나면서 상황이 악화되기 시작 했습니다.,신중하게 계획된 그의 여행은 갑자기 차가 고장 나면서 상황이 악화되기 시작했습니다.
23,"When the surprise guest walked in, the kids at the birthday party went bananas with excitement.",깜짝 손님이 등장하자 생일 파티에 참석한 아이들은 신나서 난리가 났어요.,깜짝 게스트가 들어올 때 생일 파티의 아이들은 흥분으로 열광했습니다.
24,don't try and butter me up in order to get privileged information.,권한 있는 정보를 얻기 위해 저에게 아부하지 마세요.,특권적인 정보를 얻기 위해 나를 겁내려고 하지 마세요.
25,I love listening to this old jazz record. it never gets old!,오래된 재즈 음반을 듣는 것을 좋아합니다. 절대 질리지 않아요!,저는 이 옛날 재즈 음반 듣는 것을 좋아합니다. 절대 질리지 않아요!
26,You're young and healthy and you have no commitments. The world is your oyster.,당신은 젊고 건강하며 책임 져야 할 일이 없습니다. 세상은 당신의 것이다.,너 젊고 건강하며 약속도 없어요. 세상은 너다.
27,you already finished project? you are really on the ball.,벌써 프로젝트 끝냈다고? 너 진짜 똑똑하구나.,너는 이미 프로젝트를 끝났어? 너는 정말 일을 잘 하고 있어.
28,She told him that you're barking up the wrong tree because she had no idea.,"그녀는 당신이 헛다리 짚고 있다고 말했는데, 그녀는 아는 것이 전혀 없었기 때문이다.",그녀는 전혀 몰랐기 때문에 네가 헛다리 짚었다고 그에게 말했습니다.
29,"the bookworms and the science enthusiasts formed close friendships, proving that birds of a feather flock together.","책벌레와 과학 애호가들이 밀접한 우정을 형성하여, 유유상종 임을 증명한다.",책벌레와 과학 enthusiast들은 밀접한 우정을 형성하여 유유상종이라는 것을 증명했습니다.
30,"His coach reminded him, 'Don't count your chickens before they hatch' to keep him focused on the upcoming match.",코치가 '김칫국 마시지 말라'는 말을 상기시키며 다가오는 경기에 집중할 수 있도록 했습니다.,그의 코치는 그가 다가오는 경기에 집중할 수 있도록 '닭수고 하지 마세요'라고 상기시켜 주었습니다.
31,"After accidentally deleting his important presentation, he reminded himself not to cry over spilled milk and immediately started working on a new one.","중요한 프레젠테이션을 실수로 삭제한 후, 그는 엎질러진 물이라고, 스스로에게 다짐하고 즉시 새 프레젠테이션 작업을 시작했습니다.","그는 우연히 중요한 발표를 삭제한 후, 엎질러진 물이라는 것을 상기시키고 즉시 새로운 발표를 하기 시작했습니다."
32,"After their argument, she gave him the cold shoulder and didn't speak to him for days.",말다툼이 끝난 후 그녀는 냉담한 태도를 보였고 며칠 동안 그와 연락을 하지 않았습니다.,그들의 논쟁 후에 그녀는 그에게 차갑게 대했고 며칠 동안 그와 말을 하지 않았습니다.
33,I have bigger fish to fry.,내 코가 석자라.,나는 더 중요한 일이 있어.
34,"t was only her second or third audition, and she nailed it","단지 두번째 혹은 세번째 오디션이었는데, 그녀가 제대로 해냈어!","t는 그녀의 두 번째 혹은 세 번째 오디션에 불과했고, 그녀는 그것을 성공했습니다."
35,"I just shrugged and said, 'Beats me.'",저는 그냥 어깨를 으쓱하며 '이겼어요'라고 말했죠.,"나는 그저 주저하고 ""내 말을 들어주라""고 말했습니다."
36,What on earth happened here?,도대체 무슨 일이 있었던 거죠?,도대체 무슨 일이 일어났습니까?
37,The eerie sound of footsteps in the empty hallway made my hair stand on end.,텅 빈 복도에서 들리는 섬뜩한 발자국 소리에 머리카락이 쭈뼛 서는 것 같았습니다.,빈 복도에서 울렁거리는 걸음걸이가 머리를 멈춰 서게 했습니다.
38,"When it comes to investing in this new technology, do not miss the boat; it's a game-changer.",이 새로운 기술에 투자할 때는 판도를 바꿀 수 있는 기회를 놓치지 마세요.,이 새로운 기술에 투자하는 것은 놓치지 마세요. 그것은 게임 바꿀 수 있는 것이에요.
39,"When he heard the news about the delayed flight, he had to remind his impatient friend to keep your shirt on and stay calm.","비행기가 연착되었다는 소식을 들었을 때, 그는 참을성 없는 친구에게 침착함을 유지하라고 상기시켜야 했습니다.","그가 비행기가 지연되었다는 소식을 들었을 때, 그는 급박한 친구에게 셔츠를 입고 침착함을 유지하도록 상기시켜야 했습니다."
40,"Her friends were running late for the dinner reservation, but she told them, Don't get bent out of shape about it; I don't mind waiting a little longer.",그녀의 친구들은 저녁 식사 예약에 늦고 있었지만 그녀는 그들에게 말했습니다. 그런 일로 화내지마. 조금 더 기다려도 상관없어요.,"그녀의 친구들은 저녁 식사 예약을 위해 늦게까지 달려갔지만, 그녀는 그들에게 “그 일에 화를 내지 마세요. 나는 조금 더 기다리면 상관없다""고 말했습니다."
41,"As she stared out of the window lost in thought, her friend asked this 'a penny for your thoughts?'","그녀기 생각에 잠긴 채 창밖을 바라보자, 그녀의 친구가 무슨 생각하냐고 물었습니다.","그녀가 생각에 잠겨 창밖을 쳐다보자, 그녀의 친구는 '무슨 생각 하는 거야?'라고 물었다."
42,"He tried to make things better, but to make matters worse, he just added fuel to the fire.","그는 일을 해결해 보려 했지만, 설상가상으로 문제를 더욱 악화시키기만 했다.","그는 상황을 개선하기 위해 노력했지만, 설상가상으로 그는 불에 기름을 끼얹었다."
43,"It takes two to tango, don't you know?","손바닥도 마주쳐야 소리가 나지, 몰랐어?",손도 마주쳐야 소리가 나는지 모르겠어?
44,A leopard cannot change its spots.,제 버릇 개 못 준다.,제 버릇 개 못 주는 법이다.
45,a fly in the ointment.,옥의 티.,옥에 티.
46,Don't worry about the test; it's a piece of cake.,"시험 걱정하지 마세요, 누워서 떡먹기에요.",시험 걱정하지 마세요. 간단한 일이에요.
47,Your analysis of the problem really hit the nail on the head.,당신의 문제에 대한 분석이 정곡을 찔렀어요.,그 문제에 대한 당신의 분석은 정말 정확했습니다.
48,Losing my job was a blessing in disguise; it led me to my dream career.,직장을 잃은 것이 전화위복이였어요. 제 꿈의 직장으로 이끌어줬거든요.,제 직장을 잃은 것은 위장 복이었습니다. 그것은 나의 꿈의 경력으로 이어졌습니다.
49,"We've been working on this project for hours, let's call it a day.","이 프로젝트 작업을 몇 시간 동안 했으니, 오늘은 그만 끝냅시다.","우리는 이 프로젝트를 몇 시간 동안 작업해 왔는데, 이제 그만 해봅시다."
50,Break a leg!,행운을 빌어요!,행운을 빌어!
51,"I know you don't like confrontation, but you'll have to bite the bullet and talk to him about it.","나는 당신이 대립을 좋아하지 않는 것을 알지만, 울며 겨자먹기로 그와 이야기해야 해요","당신이 대립하는 것을 좋아하지 않는다는 것을 알지만, 당신은 그에 대해 총을 쏘고 그와 이야기를 해야 할 것입니다."
52,"We don't have much time, so please cut to the chase and tell us what happened.","시간이 많지 않으니, 본론으로 들어가서 무슨 일이 있었는지 말해주세요.","시간이 별로 없어서, 다음 기회로 미뤄서 무슨 일이 있었는지 말씀해 주세요."
53,You could be a narc for all I know.,당신이 마약단속반일지 알게 뭐에요.,넌 어쩌면 바보일지도 몰라.
54,It takes two to tango.,손뼉도 마주쳐야 소리가 난다.,손도 마주쳐야 소리가 납니다.
55,Between the devil and the blue deep sea.,진퇴양난.,진퇴양난에 빠져.
56,Drop by drop fills the tub.,티끌모아 태산,티끌모아 태산이다.
57,"More haste, less speed.",급할수록 돌아가라.,급할수록 돌아가라.
58,Fine feathers make fine birds.,옷이 날개다.,옷이 날개다.
59,Ignorance is bliss.,모르는 게 약이다.,모르는 게 약이다.
60,One man sow and another reaps.,재주는 곰이 부리고 돈은 되놈이 가져간다.,한 사람이 뿌리고 다른 사람이 회수한다.
61,You've cried wolf too many times. We'll believe it when we see it.,"콩으로 메주 쑨다고 해도 안 믿는다. 우리가 그 걸 보게 되면, 그때 믿을게.",콩으로 메주를 쑨다 해도 안 믿어. 우리는 그것을 보고 믿을게.
62,"And to add insult to serious injury, I've totally given up smoking, my favorite thing.",게다가 설상가상으로 난 담배도 완전히 끊었어. 내가 제일 좋아하는 건데.,"그리고 심각한 부상에 설상가상으로 나는 담배를 완전히 포기했어, 내가 가장 좋아하는 것 같아."
63,"Well begun, half done.",시작이 반이다.,"막 시작했어, 절반은 끝났어."
64,One rotten apple spoils the barrel.,미꾸라지 한 마리가 온 웅덩이 흐린다.,미꾸라지 한마리가 온 웅덩이를 흐린다.
65,Speak of the devil and he will appear.,"호랑이도 제 말 하면 온다고, 그가 나타날것이다.",악마를 말하면 그가 나타날 것입니다.
66,It really made it clear that a worm will turn.,지렁이도 밟으면 꿈틀한다는 사실이 정말 분명해졌습니다.,그것은 지렁이도 밟으면 꿈틀한다는 것을 정말로 분명히 했습니다.
67,Out of the frying pan into the fire.,엎친 데 덮친 격.,갈수록 태산이다.
68,"The entrepreneur took a risk by investing in a new startup, knowing that ""nothing ventured, nothing gained."" The business became successful, and she reaped the rewards.","그 기업가는 ""호랑이 굴에 들어가야 호랑이를 잡는다""는 것을 알고 새로운 스타트업에 투자하여 위험을 감수했습니다. 사업은 성공했고 그녀는 보상을 받았습니다.","그 기업가는 ""호랑이 굴에 들어가야 호랑이를 잡는다""는 사실을 알고 새로운 스타트업에 투자함으로써 위험을 감수했습니다. 사업이 성공했고, 그녀는 그 대가를 회수했습니다."
69,"After submitting a complaint about a faulty product, the customer hadn't received a response, but he held onto the idea that no news is good news, expecting a resolution in his favor.",고객은 결함이 있는 제품에 대한 불만 사항을 제출한 후 응답을 받지 못했지만 그는 무소식이 희소식이라는 생각을 고수하며 자신에게 유리한 해결을 기대했습니다.,불량 제품에 대한 불만을 제출한 후 고객은 응답을 받지 못했지만 무소식이 희소식이라는 생각을 고수하며 자신의 유리하게 해결될 것을 기대했습니다.
70,"I've tried to discuss my feelings with her, but it's like talking to a brick wall.","그녀와 내 감정에 대해서 이야기를 해보려고 했지만, 이건 마치 소귀에 경 읽기 같아.","나는 그녀와 내 감정을 논의하고 싶었지만, 그것은 마치 벽과 이야기를 나누는 것과 같습니다."
71,Money makes the mare go. Money is everything.,돈이면 귀신도 부릴 수 있다.,돈이 귀신을 부릴 수 있습니다. 돈은 모든 것이에요.
72,Her best friend stabbed her in the back and they never spoke to each other again.,"믿었던 가장 친한 친구의 도끼의 발등을 찍혔고, 그들은 다시는 서로 말을 하지 않았습니다.",그녀의 가장 친한 친구는 그녀를 배신했고 그들은 다시는 대화를 하지 않았습니다.
73,"The grass is greener on the other side of the fence, so you need to know how to thank yourself for what you have.","남의 떡이 커 보인다고, 그냥 가진 것에 대해 감사할 줄 알아야 해.",남의 떡이 더 커서 네가 가진 것에 대해 어떻게 감사해야 하는지 알아야 해.
74,Look before you leap.,돌다리도 두들겨 보고 건너라.,돌다리도 두드려 보고 건너라.
75,Lock the stable after the horse is stolen.,소 잃고 외양간 고치기.,소 잃고 외양간 고치는 법.
76,This horse is like my family.,이 말은 내 가족과 같아.,이 말은 내 가족 같은 사람이에요.
77,Let sleeping dogs lie.,긁어 부스럼 만들지 마라.,긁어 부스럼 만들지 마.
78,It never rains but it pours.,설상 가상이다.,좋은 일이든 나쁜 일이든 불같이 일어난다.
79,It is no use crying over spilt milk.,이미 엎지러진 물이다.,엎질러진 물이다.
80,A little learning is a dangerous thing.,선무당이 사람 잡는다.,작은 배움은 위험합니다.
81,"Don't worry, If you need me, I'll be there at the drop of a hat.",내가 필요하면 언제든지 달려갈 테니 걱정하지마.,"걱정하지마, 네가 필요하면 곧 갈게."
82,Don't count your chickens before they are hatched.,김치 국물부터 마시지마라.,닭은 식후경하지 마세요.
83,A friend in need is a friend indeed.,어려울 때 친구가 참된 친구다.,어려울 때 친구가 진정한 친구다.
84,A burned child dreads the fire.,자라보고 놀란가슴 솥뚜껑보고 놀란다.,불에 탄 어린아이는 놀란 가슴 솥뚜껑 보고 놀란다.
85,The pot calls the kettle black.,똥 묻은 개가 겨 묻은 개 나무란다.,똥 묻은 개가 겨 묻은 개 나무라고.
86,Walls have ears.,낮말은 새가 듣고 밤말은 쥐가 듣는다.,낮말은 새가 듣고 밤말은 쥐가 듣는다.
87,Too many cooks spoil the broth.,사공이 많으면 배가 산으로 간다.,사공이 많으면 배가 산으로 간다.
88,Do you really agree with that the end justifies the means?,정말 너 모로 가도 서울만 가면 된다고 생각해?,그 목적이 수단을 정당화한다는 것에 정말로 동의합니까?
89,Every cloud has a silver lining., 하늘이 무너져도 솟아날 구멍이 있다.,하늘이 무너져도 솟아날 구멍은 있다.
90,I will eat my hat.,내 손가락에 장을 지지겠다.,나는 내 손을 들일 거야.
91,There is no smoke without fire.,아니 땐 굴뚝에 연기 날까.,굴뚝에 연기가 난다.
92,Every dog has his day.,쥐구멍에도 볕들 날 있다.,개천에는 좋은 날이 있어.
93,Her scheme of being a movie star is a wild-goose chase.,영화 배우가 되겠다는 그의 계획은 터무니 없는 헛소리 입니다.,영화배우라는 그녀의 계략은 헛수고 하는 것이다.
94,"We wanted to play touch football, but now it's raining cats and dogs, so I guess we'll stay inside.","터치 풋볼을 하고 싶었는데, 지금 비가 엄청나게 많이 와서, 안에서 지내야 할 것 같아요.","우리는 터치풋볼을 하고 싶었지만, 지금은 비가 너무 많이 와서 우리는 안에 있을 것 같아요."
95,I don't feel at all sorry that people are calling you names. You're getting a taste of your own medicine.,사람들이 너에 대해 험담 하는 것에 대해 전혀 미안하지 않아. 자업자득이야.,사람들이 당신을 호칭하고 있다는 것은 전혀 유감이 아닙니다. 당신 스스로 대가를 치르고 있습니다.
96,"The old farmhand is hard as nails, but he's got a heart of gold underneath the tough exterior.","늙은 머슴은 인정사정 없는 사람이지만, 그의 거친 겉모습과 다르게 안에는 좋은 마음씨를 가지고 있습니다.","그 늙은 농원은 흠이 없지만, 단단한 겉모습 아래에는 금의 금을 가지고 있습니다."
97,But she still aired her dirty laundry in public.,하지만 그녀는 여전히 자신의 치부를 공공연히 드러내고 있었다.,하지만 그녀는 여전히 자신의 진퇴양난을 공개적으로 노출했습니다.
98,This is the silliest banana oil I have ever heard.,이것은 내가 들어본 아첨 중 가장 우스꽝스럽습니다.,이 말은 내가 들은 것 중 가장 찬란한 말이에요.
99,Banana oil is also effective for diminishing blemishes such as stretch marks,바나나 오일은 또한 튼살과 같은 잡티를 줄이는 데 효과적입니다.,바나나 오일은 또한 스트레칭 마크와 같은 얼룩을 줄이는 데 효과적이다.
100,You will slip on a banana skin if you are not careful.,조심하지 않으면 바나나 껍질에 미끄러질 것입니다.,조심하지 않으면 바나나 껍질에 미끄러질 것입니다.
101,The new tax has proved to be a banana skin for the mayor.,새로운 세금은 시장에게 문제를 야기 시킬 것 임이 입증되었습니다.,새 세금은 시장에게 면목이 없다는 것을 증명했습니다.
102,I think Tom is always second banana unless Tim leave his place.,나는 Tim이 자리를 떠나지 않는 한 Tom은 항상 2 인자가 될 것이라고 생각합니다.,나는 팀이 자리를 떠나지 않는 한 톰이 항상 2인자라고 생각합니다.
103,"By the skin of your teech, but you pased.",너 간신히 합격했다.,"약간의 흠이 있지만, 당신은 열심히 행동했습니다."
104,"With such arguments looming, tour operators find themselves in a double bind.",이러한 주장이 제기되면서 여행사들은 딜레마 상태에 빠졌습니다.,"이러한 논쟁이 불거지고 있는 가운데, 관광 사업자들은 딜레마에 빠져있다."
105,Do you want to buy a pig in a poke?,넌 충동구매 하고 싶어?,충동구매하고 싶어하나요?
106,Doesn't that seem like it kills two birds with one stone?,그거 완전 일석이조 같은데?,그게 일석이조인 것 같지 않나요?
107,This is a documentary on his voyage from rags to riches,이건 개천에서 용난 그의 여정에 대한 다큐멘터리 이다.,이것은 그의 용난 항해에 대한 다큐멘터리입니다.
108,This is totally a piece of cake to him.,이건 그에게 완전 식은 죽 먹기라고.,그에게 이건 완전히 식은 죽 먹기다.
109,I totally slipped my mind!,완전 깜빡 했어!,완전히 잊어버렸어!
110,"I loved the last article, but this one an global warming is icing on the cake!","이전 기사도 너무 좋았는데, 이번 지구 온난화에 대한 건 금상첨화네!","마지막 기사는 정말 사랑했지만, 지구온난화는 금상첨화야!"
111,"Eating comes first, come here and eat.","금강산도 식후경 이라고, 이리 와서 드세요.","식후경이 먼저야, 여기 와서 먹는 거야."
112,"I thought there is something, but I can't quite put my finger on it.","뭔가가 있다고 생각 했는데, 딱히 뭐라고 말은 못하겠어요.","뭔가 있다고 생각했지만, 딱히 뭐라고 말을 못하겠어."
113,Everyone has a skeleton in the closet.,털어서 먼지 안 나는 사람 없는 법이에요.,털어서 먼지 안나는 사람 없어요.
114,So who spilled the beans about her affair with David?,그렇다면 데이비드와의 관계에 대한 비밀을 누가 누설 했습니까?,그렇다면 누가 David와의 불륜에 대해 비밀을 말했나요?
115,Do not cast your pearls before swine.,돼지 목에 진주 목걸이 달지 마라.,돼지 목에 진주 목걸이 하지 마세요.
116,"We were foreigners in a forbidden area, the authorities had found out and we were about to face the music.","우리는 금지된 지역에 있던 외국인이었고, 당국에 발각되어 처벌을 받을 것으로 예상되었습니다.",우리는 금지된 지역에 있는 외국인이었고 당국이 알게 되었고 우리는 처벌을 받기 직전에 있었습니다.
117,Tell me about it. I just waited an hour for them to fry a chicken.,내 말이. 닭  튀기는 데 한시간이나 기다렸어.,내 말. 나는 그들이 닭을 볶기 전에 방금 기다렸어.
118,I want to know more details. Please tell me about it.,좀 더 자세한 내용을 알고 싶은데 알려주세요.,"자세한 내용은 좀 더 알고 싶은데, 말씀해 주세요."
119,Don't tell me Gomez Adams is your father. Guessin' the apple doesn't fall far from the tree.,설마 고메즈 아담스가 네 아버지니? 피는 못 속이는 구나.,고메스 애덤스가 당신의 아버지라고 말하지 마세요. 피는 못 속인다.
